x,y,z
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1149,-4.30135,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.5498,-17.5988,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0634,-0.951538,7
12.0644,-1.10393,8
12.0848,-1.2922,5
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.77296,-18.4293,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1149,-4.30135,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.524,-17.5978,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0634,-0.951538,7
12.0644,-1.10393,8
12.0848,-1.2922,5
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.77296,-18.4293,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1149,-4.30135,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.524,-17.5978,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.7859,-12.3711,28
-11.8793,-8.37099,8
12.0634,-0.951538,7
12.0644,-1.10393,8
12.0848,-1.2922,5
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.77296,-18.4293,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1149,-4.30135,7
10.7256,-17.5465,8
6.78542,-17.7197,9
10.538,-17.5986,9
12.0441,-18.4706,10
-11.7194,-10.6647,8
-11.7018,-12.454,8
-11.8793,-8.37099,8
12.0634,-0.951538,7
12.0644,-1.10393,8
12.0848,-1.2922,5
-6.7919,-18.4301,9
-11.6752,-18.8016,10
-10.4404,-18.5719,9
-6.77296,-18.4293,10
-6.59139,-18.433,7
-10.4609,-18.5532,8
-12.1149,-4.30135,7
